AcademyId,name,score
1,학원1,775.2366547310368
2,학원2,186.25361155698235
3,학원3,165.62974852862493
4,학원4,147.58426966292134
5,학원5,89.76295535727823
6,학원6,181.52824703386503
7,학원7,375.90556447298025
8,학원8,608.5272873194222
9,학원9,649.0395933654361
10,학원10,110.16755881263484
11,학원11,220.31300160513644
12,학원12,967.8223649010165
13,학원13,174.23220973782773
14,학원14,149.808070316993
15,학원15,381.3777421080792
16,학원16,109.39918508457835
17,학원17,104.9522836713848
18,학원18,89.34760291945389
19,학원19,284.87747458533977
20,학원20,132.09129821489373
