AcademyId,total_appointment,appointment_end,appointmentScore
1,22,15,20.454545454545453
2,27,19,21.11111111111111
3,31,23,22.258064516129032
4,26,19,21.923076923076923
5,28,19,20.357142857142858
6,31,21,20.32258064516129
7,22,16,21.81818181818182
8,27,21,23.333333333333332
9,41,27,19.75609756097561
10,31,24,23.225806451612904
11,32,21,19.6875
12,37,28,22.702702702702705
13,31,20,19.35483870967742
14,27,19,21.11111111111111
15,24,20,25.0
16,31,18,17.41935483870968
17,30,22,22.0
18,36,26,21.666666666666668
19,29,19,19.655172413793103
20,37,28,22.702702702702705
21,34,25,22.058823529411768
22,30,22,22.0
23,28,22,23.57142857142857
24,27,19,21.11111111111111
25,31,20,19.35483870967742
26,26,19,21.923076923076923
27,28,22,23.57142857142857
28,32,20,18.75
29,35,30,25.71428571428571
30,29,23,23.793103448275865
