AcademyId,pdp_user_num,reviewTab_clicked,favoriteNum,appointment,participationScore
1,32,21,27,20,28.333333333333336
2,31,23,43,25,39.13978494623655
3,30,18,25,30,32.44444444444444
4,29,16,25,26,30.804597701149422
5,30,20,30,25,33.333333333333336
6,35,26,27,29,31.238095238095237
7,31,23,26,20,29.67741935483871
8,45,26,27,27,23.703703703703706
9,20,14,33,41,58.666666666666664
10,25,17,26,30,38.93333333333333
11,25,18,35,32,45.33333333333333
12,21,17,18,36,45.079365079365076
13,22,15,23,31,41.81818181818181
14,30,24,31,27,36.44444444444444
15,32,18,33,23,30.833333333333336
16,28,18,20,30,32.38095238095238
17,31,21,29,27,33.11827956989247
18,29,14,29,35,35.86206896551724
19,30,20,33,27,35.55555555555556
20,39,30,31,34,32.47863247863248
21,27,18,28,33,39.01234567901235
22,29,21,29,29,36.32183908045977
23,32,20,40,28,36.666666666666664
24,23,18,37,26,46.95652173913044
25,34,28,38,31,38.03921568627451
26,35,21,36,26,31.61904761904762
27,30,25,23,26,32.88888888888889
28,29,20,34,32,39.54022988505747
29,33,22,35,33,36.36363636363636
30,33,25,29,28,33.131313131313135
